0,511
200,512
400,510
600,513
800,512
1000,511
1200,512
1400,512
1600,510
1800,511
2000,512
2200,513
2400,511
2600,512
2800,512
3000,511
3200,510
3400,512
3600,513
3800,511
4000,512
4200,512
4400,511
4600,510
4800,512
5000,513
5200,511
5400,512
5600,512
5800,510
6000,512
6200,511
6400,513
6600,512
6800,511
7000,512
7200,510
7400,512
7600,511
7800,512
8000,513
8200,511
8400,510
8600,512
8800,511
9000,512
9200,511
9400,513
9600,512
9800,511
10000,512
10200,511
10400,520
10600,535
10800,544
11000,554
11200,561
11400,568
11600,574
11800,579
12000,584
12200,587
12400,590
12600,593
12800,596
13000,599
13200,601
13400,603
13600,604
13800,606
14000,608
14200,609
14400,609
14600,611
14800,612
15000,613
15200,614
15400,614
15600,615
15800,616
16000,616
16200,617
16400,616
16600,617
16800,617
17000,618
17200,617
17400,618
17600,619
17800,618
18000,619
18200,618
18400,620
18600,618
18800,619
19000,620
19200,619
19400,618
19600,619
19800,620
20000,619
20200,620
20400,621
20600,619
20800,620
21000,619
21200,621
21400,620
21600,619
21800,620
22000,621
22200,619
22400,620
22600,621
22800,620
23000,619
23200,620
23400,621
23600,619
23800,620
24000,619
24200,621
24400,620
24600,619
24800,620
25000,621
25200,619
25400,620
25600,619
25800,621
26000,620
26200,619
26400,620
26600,621
26800,619
27000,620
27200,619
27400,621
27600,620
27800,619
28000,620
28200,621
28400,619
28600,620
28800,619
29000,621
29200,620
29400,619
29600,620
29800,621
30000,619
